npv4%               ,SV30                ,removal1            ,removal2            ,removal3            ,dummy
max,max,max,max,max,var
-1.43181E+11,-1385313588,-1822843650,-826674151.5,-1062581206,1
-1.06682E+11,-5130174379,-115407634.5,-15457198.81,-3798958.49,1
-1.37406E+11,-662648930.9,-1948668143,-634974365.4,-1378500686,1
-1.24318E+11,-170340782.9,-18055990.55,-3487006420,-638888192.6,1
-1.11526E+11,1233012925.9199994  ,-22797924.96,-19563760.88,-5708832886,1
-1.37102E+11,-2231378767,-1069170660,-1905523458,-2194423.7,1
-1.37456E+11,-2970267173,-1293362325,-1151468334,-2194145.6,1
-1.31604E+11,-2685242296,-1206870366,-2317605.25,-1613952639,1
-1.27839E+11,-1778291767,-931817868.3,-2194071.85,-2702795317,1
-1.31356E+11,-2630641685,-546778903,-2118196017,-2194145.6,1
-1.28139E+11,-2507862734,-536323798.6,-889286243.3,-1454871319,1
-1.24635E+11,-1896718753,-631559346.2,-3512260.25,-2809188573,1
-1.26038E+11,-2141348733,-125684167.7,-1850264867,-1126321040,1
-1.23788E+11,-1749112002,-405870252.7,-473842756.1,-2676805007,1
-1.22331E+11,-1355445335,-56535506.12,-1419867779,-2323579116,1
-1.35899E+11,-629666161.5,-1189176792,-2116103671,-596876983.2,1
-1.39288E+11,-874201631,-1301000200,-1156252650,-1891987630,1
-1.3252E+11,-553578737.8,-1203826174,-1451055.41,-3506658737,1
-1.33623E+11,-638295560.6,-585959410.1,-2188393364,-1680421756,1
-1.28208E+11,-398566811.3,-513169117.3,-895208736,-3367640972,1
-1.25997E+11,-12940185.3,-79695107.22,-1845876882,-3021803432,1
-1.35307E+11,460866955.5400055   ,-1186220907,-2110462913,-1552910241,1
-1.3542E+11,709175982.0499891   ,-1175282935,-928873862.8,-3422801331,1
-1.29351E+11,745744571.7,-433600501,-1913469841,-3132598160,1
-1.34889E+11,631159521.3999939   ,-949743961.9,-1683532575,-2756146293,1
-1.37113E+11,-2235697021,-1070482966,-1901526494,-2194423.7,1
-1.3443E+11,-2311284037,-1093555525,-781190847,-1278581527,1
-1.27839E+11,-1778291767,-931817868.3,-2194071.85,-2702795317,1
-1.28938E+11,-2070992513,-377111095.3,-1811456067,-1063050087,1
-1.20088E+11,-1794965304,-293357921.3,-498243122,-2717758923,1
-1.22329E+11,-1355625513,-56553613.48,-1419485143,-2323750735,1
-1.3803E+11,-318598340.1,-1132374832,-2013220988,-1393704463,1
-1.34521E+11,-158103528.7,-1083790386,-763523214.6,-3151988785,1
-1.28986E+11,81931474.86000235   ,-367379136.7,-1793870469,-2936720483,1
-1.34889E+11,631159521.3999939   ,-949743961.9,-1683532575,-2756146293,1
-1.36606E+11,-1834065204,-948870434.9,-1681689200,-850615252.7,1
-1.29301E+11,-1597718597,-877034996.6,-390280449.6,-2540854431,1
-1.23945E+11,-1340511929,-155502617.8,-1411347991,-2310193108,1
-1.35559E+11,345305629.4900028   ,-930946797.6,-1649577995,-2700519840,1
-1.32306E+11,-1136989046,-737372755.8,-1299713849,-2127676371,1
-1.32321E+11,-1133027275,-736020327.8,-1306318819,-2125116081,1
-1.22329E+11,-1355625513,-56553613.48,-1419485143,-2323750735,1
-1.34891E+11,631071258.0299939   ,-949743245.3,-1683532622,-2756151855,1
-1.27839E+11,-1778291767,-931817868.3,-2194071.85,-2702795317,1
-1.3752E+11,-2160390590,-1047708917,-1860369288,-192350513.7,1
-1.22329E+11,-1355625513,-56553613.48,-1419485143,-2323750735,1
